"uuid","name","description","class","shortname","datatype","units","High Normal","Low Normal","Allow Decimal","locale","synonym.1","answer.1","answer.2","answer.3","answer.4","answer.5","reference-term-source","reference-term-code","reference-term-relationship"
"986fd416-f87d-4b75-8fbf-c3ef939a0fff","under5_cant_Drink",,"Misc","??? ?? ???? ???? ?? ??????? ???? ?? ????","N/A",,,,,,"","","","","","",,,
"54085548-863d-4c2f-b32d-218f3a805e0d","Everything vomits",,"Misc","????? ????? ?? ???? ??","N/A",,,,,,"","","","","","",,,
"c645adc1-595b-456d-9f2c-df705850d0c9","Slow or unconscious",,"Misc","????? ?? ?????","N/A",,,,,,"","","","","","",,,
"3d01bbaf-0e00-451e-973a-195acf9e23a6","Daur padate hai",,"Misc","???? ???? ???","N/A",,,,,,"","","","","","",,,
"8ae60fa7-26e6-4ca3-9fe4-a037a9cc57aa","Under5_Danger_Signs",,"ConvSet","???? ?? ?? ??????? ?? ??? ????? ?? ???? ???? ?","Coded",,,,,,"","under5_cant_Drink","Everything vomits","Slow or unconscious","Daur padate hai","",,,
"7ec4a362-b18f-4b22-906c-acf42153a779","Ans_option_yes_hindi",,"Misc","???","N/A",,,,,,"","","","","","",,,
"345f8588-9a0e-474a-bdf4-9230a66b71c9","Ans_option_no_hindi",,"Misc","????","N/A",,,,,,"","","","","","",,,
"12be0e5f-28a3-4c48-bf7a-895bdedfdfb6","Danger_sign",,"Misc","???? ?? ?? ????? ??","Coded",,,,,,"","Ans_option_yes_hindi","Ans_option_no_hindi","","","",,,
"3465a69d-33ad-46a9-866d-b5e43639bd84","Temprature (F)",,"Test","?????? (?F)","Numeric",,,,,,"","","","","","",,,
"7ec4a362-b18f-4b22-906c-acf42153a779","Ans_option_yes_hindi",,"Misc","???","N/A",,,,,,"","","","","","",,,
"345f8588-9a0e-474a-bdf4-9230a66b71c9","Ans_option_no_hindi",,"Misc","????","N/A",,,,,,"","","","","","",,,
"61ebf8b3-a55c-410c-a0b2-9af3eec24e8e","under5_Cough",,"Misc","???? ????? ?? ????? ?? ???? ???? ??? ?????? ?? ?","Coded",,,,,,"","Ans_option_yes_hindi","Ans_option_no_hindi","","","",,,
"d7f9a134-fbe6-43b1-b7d6-e394c64079fe","breathingRate",,"Misc","?? ???? ?? ??? ???? ?? ?? ?????","Numeric",,,,,,"","","","","","",,,
"7ec4a362-b18f-4b22-906c-acf42153a779","Ans_option_yes_hindi",,"Misc","???","N/A",,,,,,"","","","","","",,,
"345f8588-9a0e-474a-bdf4-9230a66b71c9","Ans_option_no_hindi",,"Misc","????","N/A",,,,,,"","","","","","",,,
"f1014f9a-875e-4c4d-baca-7a8921c0b9f5","Strong breath",,"Misc","??? ????","Coded",,,,,,"","Ans_option_yes_hindi","Ans_option_no_hindi","","","",,,
"35052ad8-f24e-423d-8065-b8a6626720dc","From how many days",,"Misc","????? ??? ??","Numeric",,,,,,"","","","","","",,,
"7ec4a362-b18f-4b22-906c-acf42153a779","Ans_option_yes_hindi",,"Misc","???","N/A",,,,,,"","","","","","",,,
"345f8588-9a0e-474a-bdf4-9230a66b71c9","Ans_option_no_hindi",,"Misc","????","N/A",,,,,,"","","","","","",,,
"6eecfe9e-8f8b-4e5e-8f70-215f6f2fe3b2","See ribs",,"Misc","???? ????? ?????","Coded",,,,,,"","Ans_option_yes_hindi","Ans_option_no_hindi","","","",,,
"c3838414-3f10-11e4-adec-0800271c1b75","SPO2",,"Misc","SPO2","Numeric",,,,,,"","","","","","",,,
"c384402b-3f10-11e4-adec-0800271c1b75","SPO2 Abnormal",,"Abnormal","Temperature Abnormal","Boolean",,,,,,"","","","","","",,,
"e22aa93d-3240-494e-ad58-032c6c1d0522","Severe pneumonia",,"Misc","????? ????????","N/A",,,,,,"","","","","","",,,
"3138fca4-31bc-4b2a-9515-43f5d0ceae3b","Pneumonia",,"Misc","????????","N/A",,,,,,"","","","","","",,,
"0c186f36-1f80-4459-b73e-1bb41efefae7","cough 1",,"Misc","?????","N/A",,,,,,"","","","","","",,,
"93deed60-44c6-4eae-ab15-f8db39d9d7f3","Under2_Feaver",,"Misc","?????","N/A",,,,,,"","","","","","",,,
"97449c4a-d17e-456c-9a83-e2540ce82174","Pneumonia classification",,"Misc","???????? ????????","Coded",,,,,,"","Severe pneumonia","Pneumonia","cough 1","Under2_Feaver","",,,
"7ec4a362-b18f-4b22-906c-acf42153a779","Ans_option_yes_hindi",,"Misc","???","N/A",,,,,,"","","","","","",,,
"345f8588-9a0e-474a-bdf4-9230a66b71c9","Ans_option_no_hindi",,"Misc","????","N/A",,,,,,"","","","","","",,,
"50a5f887-690b-4407-8408-abb4c31cd96f","Does the child have diarrhea",,"Misc","???? ????? ?? ???? ?? ?","Coded",,,,,,"","Ans_option_yes_hindi","Ans_option_no_hindi","","","",,,
"35052ad8-f24e-423d-8065-b8a6626720dc","From how many days",,"Misc","????? ??? ??","Numeric",,,,,,"","","","","","",,,
"bb2786b5-4d99-47fb-af15-817fb01f506d","Dull",,"Test","?????","N/A",,,,,,"","","","","","",,,
"277f89cb-541d-4534-823c-836c6a23c585","2M_Unconscious",,"Misc","?????","N/A",,,,,,"","","","","","",,,
"8eb6f277-8717-41a9-ba6d-4b430c4b8c6c","Restless",,"Misc","?????","N/A",,,,,,"","","","","","",,,
"c8261e19-9758-4c72-a73d-066bda641d75","Irritable",,"Misc","???????","N/A",,,,,,"","","","","","",,,
