name,description,class,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,child.11,child.12,child.13,child.14,reference-term-source,reference-term-code,reference-term-relationship
Temperature Data,,Concept Details,Temperature,Temperature,Temperature Abnormal,,,,,,,,,,,,,,,
Pulse Data,,Concept Details,Pulse,Pulse,Pulse Abnormal,,,,,,,,,,,,,,,
RR Data,,Concept Details,RR,RR,RR Abnormal,,,,,,,,,,,,,,,
SPO2 Data,,Concept Details,SpO2,SPO2,SPO2 Abnormal,,,,,,,,,,,,,,,
Systolic Data,,Concept Details,BP: Systolic,Systolic,Systolic Abnormal,,,,,,,,,,,,,,,
Diastolic Data,,Concept Details,BP: Diastolic,Diastolic,Diastolic Abnormal,,,,,,,,,,,,,,,
Adult_FU_Vitals,,ConvSet,Vital Parameters,Global_Gnral_Condtion,WEIGHT,Temperature Data,Pulse Data,RR Data,SPO2 Data,Systolic Data,Diastolic Data,,,,,,,,,
ADULT_FollowUP_Symptoms,,ConvSet,Initial Symptoms,AFF_Symp,AFF_Other,AFF_Current_Status,,,,,,,,,,,,,,
ADULT_FollowUP_New_Symptoms,,ConvSet,New Symptoms,AFF_New_Symp,AFF_Other,,,,,,,,,,,,,,,
ADULT_FollowUP_Signs,,ConvSet,Initial Signs,ACS_Initial_Signs,AFF_Other,AFF_Current_Status,,,,,,,,,,,,,,
ACS_FollowUP_Nsign,,ConvSet,New Signs,ACS_New_Signs,AFF_Other,,,,,,,,,,,,,,,
ACS_Recved_Diagnosis_Section,,ConvSet,Revised Diagnosis,AFF_Severe_Illness,ACS_ADULT_Diagnosis1,,,,,,,,,,,,,,,
GLOBAL_Fee_Section,,ConvSet,Fee Details,Fees_Amount,,,,,,,,,,,,,,,,
ADULT_FollowUP_from,,Misc,Adult Follow Up,Adult_FU_Vitals,ACS_Past history_LMP,ACS_ADULT_Initial_Diagnosis1,ADULT_FollowUP_Symptoms,ADULT_FollowUP_New_Symptoms,ADULT_FollowUP_Signs,ACS_FollowUP_Nsign,Adult_follow_Overall_impression_visit,ACS_Recved_Diagnosis_Section,GLOBAL_Fee_Section,GLOBAL_FollowUpDate,GLOBAL_Doctors_Name,GLOBAL_Nurse_Name,,,,
