FULLY_SPECIFIED,SHORT
ANC_Last menstruationinformation,आखिरी माहवारी की तिथि
ANC_Possible date delivery,प्रसव की संभावित तिथि
ANC_Period of pregnancy at the first visit,पहली विजिट के समय गर्भ की अवधि
ANC_Number of children born in total,कुल जन्में बच्चों की संख्या
ANC_Dead birth,शिशु मृत्यु की संख्या
ANC_Infant mortality,मृत जन्म की संख्या
ANC_Where did the first childbirth?,पहले के प्रसव कहाँ हुए ?
ANC_How many times pregnant,कितनी बार गर्भवती हुई
ANC_Number of living children currently,वर्तमान में जीवित बच्चों की संख्या
Ans_option_yes_hindi,हाँ
Ans_option_no_hindi,नहीं
ANC_Operation / Cesarean,ऑपरेशन / सिजेरियन
ANC_Abortion,गर्भपात
ANC_Mosquito net,मच्छरदानी दी गई
ANC_Mosquito_net_Date,मच्छरदानी की दिनांक
ANC_monthaly_information,माहावारी संबंधी जानकारी
ANC_past_Pregnancy information,पूर्व गर्भावस्थाओं की जानकारी
ANC_Registration,प्रसव पूर्व जांच रजिस्ट्रेशन
