name,description,class,shortname,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,answer.14,answer.15,answer.16,answer.17,reference-term-source,reference-term-code,reference-term-relationship
Global_FollowUpDate,,Misc,Follow-Up-Date,Date,,,,,,,,,,,,,,,,,,,,,,,,,,
Global_Doctors_name_1,,Misc,Doctor's name 1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Global_Doctors_name_2,,Misc,Doctor's name 2,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Global_Doctors_name,,Misc,Doctor's name,Coded,,,,,,,Global_Doctors_name_1,Global_Doctors_name_2,,,,,,,,,,,,,,,,,,
Global_Nurses_name_1,,Misc,Nurse's name 1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Global_Nurses_name_2,,Misc,Nurse's name 2,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Global_Nurses_name,,Misc,Nurse's name,Coded,,,,,,,Global_Nurses_name_1,Global_Nurses_name_2,,,,,,,,,,,,,,,,,,
GLOBAL_Location_Hospital,,Misc,???????,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Location_Clinic,,Misc,???? ???????,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Location_Home,,Misc,??,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_delivery location,,Misc,????? ?? ?????,Coded,,,,,,,GLOBAL_Location_Hospital,GLOBAL_Location_Clinic,GLOBAL_Location_Home,,,,,,,,,,,,,,,,,
GLOBAL_Ans_option_good,,Misc,????? ??,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Ans_option_Not_At_ALL,,Misc,??????? ???? ??,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_breathingRate,,Misc,?? ???? ?? ??? ???? ?? ?? ?????,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Consultation_Hindi,,ConvSet,???????,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Follow up after,,Misc,?????? ???????? ?????,Date,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Groan,,Misc,??????,Misc,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Hindi_Name_of_Doctor_1,,Misc,?????? ?? ??? ?,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Hindi_Name_of_Doctor_2,,Misc,?????? ?? ??? ?,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Hindi_Name_of_Doctor,,Misc,?????? ?? ???,Coded,,,,,,,GLOBAL_Hindi_Name_of_Doctor_1,GLOBAL_Hindi_Name_of_Doctor_2,,,,,,,,,,,,,,,,,,
GLOBAL_Hindi_Nurse/SHW_name1,,Misc,???? / SHW_Name 1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Hindi_Nurse/SHW_name2,,Misc,???? / SHW_Name 2,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Hindi_Name_of_nurse_or_SHW,,Misc,???? ?? / SHW ?? ???,Coded,,,,,,,GLOBAL_Hindi_Nurse/SHW_name1,GLOBAL_Hindi_Nurse/SHW_name2,,,,,,,,,,,,,,,,,,
GLOBAL_See ribs,,Misc,???? ????? ?????,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,,,,,,,,,,,,,
Ans_option_yes_hindi,,Misc,???,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Ans_option_no_hindi,,Misc,????,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Temprature (F),,Misc,?????? (°F),Numeric,,98.6,97,,,,,,,,,,,,,,,,,,,,,,,
