FULLY_SPECIFIED,SHORT
Immunization_BCG,बी.सी.जी. 
Immunization_OPV_0,ओ.पी.वी
Immunization_pentawelant1,पेंटावेलेंट 1
Immunization_OPV_1,ओ.पी.वी 1
Immunization_pentawelant2,पेंटावेलेंट 2
Immunization_OPV_2,ओ.पी.वी. 2
Immunization_pentawelant3,पेंटावेलेंट 3
Immunization_IPV_3,ओ.पी.वी. 3
Immunization_khasra,खसरा
Immunization_Vitamin_A,विटामिन 'ए' - 1
Immunization_D.P.T_Booster1,डी.पी.टी. (बूस्टर-1)
Immunization_OPV_1_Booster1,ओ.पी.वी. (बूस्टर-1)
Immunization_Vitamin_A_2,विटामिन 'ए' - 2
Immunization_D.P.T_Booster2,डी.पी.टी. (बूस्टर-2)
Immunization_OPV_1_Booster2,ओ.पी.वी. (बूस्टर-2)
Immunization_Vitamin_A_3, विटामिन 'ए' - 3
