name,description,class,shortname,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,answer.14,answer.15,answer.16,answer.17,reference-term-source,reference-term-code,reference-term-relationship
GLOBAL_Visit_Date,,Misc,Date,Date,,,,,,,,,,,,,,,,,,,,,,,,,,
Systolic,,Misc,BP Systolic,Numeric,mm Hg,139,90,Yes,,,,,,,,,,,,,,,,,,,,,,
Systolic Abnormal,,Abnormal,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,
Diastolic,,Misc,BP Diastolic,Numeric,mm Hg,,89,Yes,,,,,,,,,,,,,,,,,,,,,,
Diastolic Abnormal,,Abnormal,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature,,Misc,Temperature,Numeric,F,99,97,Yes,,,,,,,,,,,,,,,,,,,,,,
Temperature Abnormal,,Abnormal,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulse,,Misc,PR,Numeric,/min,100,70,Yes,,,,,,,,,,,,,,,,,,,,,,
Pulse Abnormal,,Abnormal,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,
RR ,,Misc,RR,Numeric,/min,20,12,Yes,,,,,,,,,,,,,,,,,,,,,,
RR Abnormal,,Abnormal,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,
SPO2,,Misc,SpO2,Numeric,%,100,95,Yes,,,,,,,,,,,,,,,,,,,,,,
SPO2 Abnormal,,Abnormal,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_FollowUp_Started_Bleeding,,Misc,Bleeding?,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_FollowUp_Excessive,,Misc,Excessive,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_FollowUp_Normal,,Misc,Normal,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_FollowUp_Bleeding_Excessive,,Misc,Bleeding excessive?,coded,,,,,,,MTP_FollowUp_Excessive,MTP_FollowUp_Normal,,,,,,,,,,,,,,,,,,
MTP_FollowUp_Misoprostal_Given,,Misc,Misoprostol given?,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_FollowUp_abortion_complete_Yes,,Misc,Yes,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_FollowUp_abortion_complete_No,,Misc,No,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_FollowUp_abortion_complete_On treatment,,Misc,On treatment,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_FollowUp_abortion_complete,,Misc,Is the abortion complete?,coded,,,,,,,MTP_FollowUp_abortion_complete_Yes,MTP_FollowUp_abortion_complete_No,MTP_FollowUp_abortion_complete_On treatment,,,,,,,,,,,,,,,,,
MTP_Uterus_Size,,Misc,Uterus Size,Numeric,,,,Yes,,,,,,,,,,,,,,,,,,,,,,
MTP_Positive,,Misc,Positive,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_Negative,,Misc,Negative,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_Indeterminate,,Misc,Indeterminate,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_FU_Urin_Prgncy_Test,,Misc,Urine Pregnancy test,coded,,,,,,,MTP_Positive,MTP_Negative,MTP_Indeterminate,,,,,,,,,,,,,,,,,
MTP_FollowUp_CN_Contra_method,,Misc,Contraceptive methods,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_FollowUp_CN_CM_Adopted,,Misc,Any Contraceptive method adopted?,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_IUD,,Misc,IUD,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_DMPA,,Misc,DMPA,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_OCP,,Misc,OCP,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_FollowUp_CN_What_CM_Adopted,,Misc,What method of contraception adopted?,coded,,,,,,,MTP_IUD,MTP_DMPA,MTP_OCP,,,,,,,,,,,,,,,,,
GLOBAL_FollowUpDate,,Misc,Follow-up Date,Date,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Doctors_Name_1,,Misc,Dr. Sanjana,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Doctors_Name_2,,Misc,Dr. Pavitra,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Doctors_Name_3,,Misc,Dr. Pukhraj,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Doctors_Name_4,,Misc,Dr. Anurag,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Doctors_Name_5,,Misc,Dr. Rohit,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Doctors_Name,,Misc,Doctor's Name,Coded,,,,,,,GLOBAL_Doctors_Name_1,GLOBAL_Doctors_Name_2,GLOBAL_Doctors_Name_3,GLOBAL_Doctors_Name_4,GLOBAL_Doctors_Name_5,,,,,,,,,,,,,,,
GLOBAL_Nurse_Name1,,Misc,Nurse's Name 1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Nurse_Name2,,Misc,Nurse's Name 2,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Nurse_Name,,Misc,Nurse's Name,Coded,,,,,,,GLOBAL_Nurse_Name1,GLOBAL_Nurse_Name2,,,,,,,,,,,,,,,,,,
