name,description,class,shortname,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,answer.14,answer.15,answer.16,answer.17,reference-term-source,reference-term-code,reference-term-relationship
GLOBAL_Visit_Date,,Misc,Date,Date,,,,,,,,,,,,,,,,,,,,,,,,,,
ANC-WEIGHT,,Misc,Weight,Numeric,kg,,,yes,,,,,,,,,,,,,,,,,,,,,,
ANC_HEIGHT,,Misc,Height,Numeric,cms,,,yes,,,,,,,,,,,,,,,,,,,,,,
BMI,,Misc,BMI,Numeric,,,18.4,yes,,,,,,,,,,,,,,,,,,,,,,
BMI Abnormal,,Abnormal,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,
Systolic,,Misc,BP Systolic,Numeric,mm Hg,139,90,yes,,,,,,,,,,,,,,,,,,,,,,
Systolic Abnormal,,Abnormal,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,
Diastolic,,Misc,BP Diastolic,Numeric,mm Hg,,89,yes,,,,,,,,,,,,,,,,,,,,,,
Diastolic Abnormal,,Abnormal,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature,,Misc,Temperature,Numeric,F,99,97,yes,,,,,,,,,,,,,,,,,,,,,,
Temperature Abnormal,,Abnormal,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulse,,Misc,Pulse rate,Numeric,/min,100,70,yes,,,,,,,,,,,,,,,,,,,,,,
Pulse Abnormal,,Abnormal,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,
RR ,,Misc,Respiratory rate,Numeric,/min,20,12,yes,,,,,,,,,,,,,,,,,,,,,,
RR Abnormal,,Abnormal,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,
ANC_SPO2,,Misc,SpO2,Numeric,%,100,95,yes,,,,,,,,,,,,,,,,,,,,,,
ANC_SPO2_Abnormal,,Abnormal,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,
LMP,,Misc,LMP,Date,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_Bleeding_Days,,Misc,No of days of menstruation,Numeric,,,,yes,,,,,,,,,,,,,,,,,,,,,,
MTP_Cycle_Intervals,,Misc,Interval between cycles,Numeric,days,,,yes,,,,,,,,,,,,,,,,,,,,,,
MTP_Regular,,Misc,Regular,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_Irregular,,Misc,Irregular,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_Regularity,,Misc,Regularity,coded,,,,,,,MTP_Regular,MTP_Irregular,,,,,,,,,,,,,,,,,,
MTP_Normal,,Misc,Normal,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_Excessive,,Misc,Excessive,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_Flow,,Misc,Flow,coded,,,,,,,MTP_Normal,MTP_Excessive,,,,,,,,,,,,,,,,,,
MTP_Gravida,,Misc,Gravida,Numeric,,,,yes,,,,,,,,,,,,,,,,,,,,,,
MTP_Para,,Misc,Para,Numeric,,,,yes,,,,,,,,,,,,,,,,,,,,,,
MTP_Abortion,,Misc,Abortion,Numeric,,,,yes,,,,,,,,,,,,,,,,,,,,,,
MTP_Live_Birth,,Misc,Live Birth,Numeric,,,,yes,,,,,,,,,,,,,,,,,,,,,,
MTP_Still_Birth,,Misc,Still Birth,Numeric,,,,yes,,,,,,,,,,,,,,,,,,,,,,
MTP_Hemoglobin,,Misc,Hemoglobin,Numeric,gm/dl,,10.9,yes,,,,,,,,,,,,,,,,,,,,,,
MTP_Hemoglobin_Abnormal,,Abnormal,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_Positive,,Misc,Positive,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_Negative,,Misc,Negative,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_Indeterminate,,Misc,Indeterminate,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_Urin_Prgncy_Test,,Misc,Urine pregnancy test,coded,,,,,,,MTP_Positive,MTP_Negative,MTP_Indeterminate,,,,,,,,,,,,,,,,,
MTP_Gestation_History,,Misc,Gestation by history,Numeric,in weeks,,,yes,,,,,,,,,,,,,,,,,,,,,,
ACS_Fullness_Of_Fornix,,Misc,Fullness of fornix right,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
ACS_Fullness_Of_Fornix_Left,,Misc,Fullness of fornix left,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
ACS_Tenderness,,Misc,Tenderness,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_Pv,,Misc,P/V examination,Coded,,,,,,,ACS_Fullness_Of_Fornix,ACS_Fullness_Of_Fornix_Left,ACS_Tenderness,ACS_Others_Other,,,,,,,,,,,,,,,,
ACS_P_V_6,,Misc,Normal 6,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
ACS_P_V_7,,Misc,7,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
ACS_P_V_8,,Misc,8,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
ACS_P_V_9,,Misc,9,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
ACS_P_V_10,,Misc,10,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
ACS_P_V_11,,Misc,11,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
ACS_P_V_12,,Misc,12,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
ACS_P_V_Greater_Than_12,,Misc,>12,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
ACS_P_V_Uterus_Size,,Misc,P/V Uterus Size (In Weeks),Coded,,,,,,,ACS_P_V_6,ACS_P_V_7,ACS_P_V_8,ACS_P_V_9,ACS_P_V_10,ACS_P_V_11,ACS_P_V_12,ACS_P_V_Greater_Than_12,,,,,,,,,,,,
ACS_P_S_cervicitis,,Misc,Cervicitis,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaginitis,,Misc,Vaginitis,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
ACS_Discharge_curdy,,Misc,Discharge curdy,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
ACS_Discharge_greenish,,Misc,Discharge greenish,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
ACS_Foul_Smelling,,Misc,Discharge foul smelling,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
ACS_Tenderness_p_v,,Misc,Tenderness p/v,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
