FULLY_SPECIFIED,SHORT
GLOBAL_Type_Of_Visit,Type of visit
GLOBAL_Hindi_Date,तारीख
2MT5Y_Heart_Rate,हार्ट रेट (प्रति मिनट)
2MT5Y_Breath_Rate,सांस की दर
GLOBAL_Hindi_Temprature,तापमान (फ)
2MT5Y_Auscultation_Creps_R,Creps R
2MT5Y_Auscultation_Creps_L,Creps L
2MT5Y_Auscultation_Creps_BL,Creps BL
2MT5Y_Auscultation_Wheeze,Wheeze
2MT5Y_Auscultation,Auscultation
2MT5Y_SPO2,SpO2
2MT5Y_SPO2_AbnormL,Abnormal
GLOBAL_Infant_Weight,वजन (कि. ग्रा) 
2MT5Y_WAZ,WAZ
GLOBAL_Infant_Height,लम्बाई (से. मी.)
2MT5Y_Severe_Dryness,गंभीर फीकापन
2MT5Y_Swelling_Legs,दोनों पैरों में सूजन
2MT5Y_Malnutrition_Check,गंभीर कुपोषण के लिए जाँच करें
2MT5Y_NO_SAM,गंभीर कुपोषण नहीं है
2MT5Y_No_Malnutrition,कुपोषण नहीं
2MT5Y_Malnutrition,कुपोषित
2MT5Y_Highly_Malnourished,अति कुपोषित
2MT5Y_Malnutrition_Grade_Determine,कुपोषण के ग्रेड को निर्धारित करें
2MT5Y_Slow_Unconscious,सुस्त या बेहोश
2MT5Y_Wont_Drink,कुछ पी नहीं सकता
2MT5Y_Wont_Breast_Feed,स्तनपान नहीं कर सकता
2MT5Y_Vomits_Everything,सबकुछ उलटी कर देता है
2MT5Y_Do_Dorre,दौरे पड़ते है
2MT5Y_Danger_Common_Symptoms,खतरे के आम लक्षण हैं ?
2MT5Y_Difficulty_Coughing_Breathing,क्या शिशु को खांसी या सांस लेने में कठिनाई है?
2MT5Y_Fast_Breath,तेज सांस
2MT5Y_Ribs_Fall,पसली का धंसना
2MT5Y_Severe_Pneumonia,गंभीर निमोनिया
2MT5Y_Pneumonia,निमोनिया
2MT5Y_Cough,खांसी-जुखाम
2MT5Y_Pneumonia_Classification,वर्गीकरण
2MT5Y_Does_Child _Have_Diarrhea,क्या शिशु को दस्त है?
