name,description,class,shortname,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,answer.14,answer.15,answer.16,answer.17,answer.18,answer.19,answer.20,answer.21,answer.22,answer.23,answer.24,answer.25,answer.26,answer.27,answer.28,answer.29,answer.30,answer.31,answer.32,answer.33,answer.34,answer.35,answer.36,reference-term-source,reference-term-code,reference-term-relationship
GLOBAL_Type_Of_Visit,,Misc,Type of Visit,Coded,,,,,,,GLOBAL_Intake_NewType,GLOBAL_Intake_Old,GLOBAL_Follow_UpType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Hindi_Date,,Misc,?????,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Heart_Rate,,Misc,????? ??? (????? ????),Numeric,,140,80,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Heart_Rate_Abnormal,,Abnormal,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Breath_Rate,,Misc,???? ?? ??,Numeric,,40,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Breath_Rate_Abnormal,,Abnormal,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Auscultation_Creps_R,,Misc,Creps R,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Auscultation_Creps_L,,Misc,Creps L,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Auscultation_Wheeze_R,,Misc,Wheeze R,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Auscultation_Wheeze_L,,Misc,Wheeze L,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Auscultation,,Misc,Auscultation,Coded,,,,,,,2MT5Y_Auscultation_Creps_R,2MT5Y_Auscultation_Creps_L,2MT5Y_Auscultation_Wheeze_R,2MT5Y_Auscultation_Wheeze_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_SPO2,,Misc,SpO2,Numeric,%,100,95,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_SPO2_AbnormL,,Abnormal,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Infant_Weight,,Misc,???�,Numeric,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_WAZ,,Misc,WAZ�,Numeric,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_Infant_Height,,Misc,??????,Numeric,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Severe_Dryness,,Misc,????? ???? ????? ??????,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Swelling_Legs,,Misc,????? ????? ??? ????,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_WHZ_3SD,,Misc,WHZ<-3SD,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_NO_SAM,,Misc,????? ?????? ???? ??,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Malnutrition_Check,,Misc,?????? ?? ??? ???? ????�,Coded,,,,,,,2MT5Y_Severe_Dryness,2MT5Y_Swelling_Legs,2MT5Y_WHZ_3SD,2MT5Y_NO_SAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_No_Malnutrition,,Misc,?????? ????,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Malnutrition,,Misc,???????,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Highly_Malnourished,,Misc,??? ???????�,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Malnutrition_Grade_Determine,,Misc,?????? ?? ????? ?? ????????? ????�,Coded,,,,,,,2MT5Y_Highly_Malnourished,2MT5Y_Malnutrition,2MT5Y_No_Malnutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Slow_Unconscious,,Misc,????? ?? ?????,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Wont_Drink,,Misc,??? ?? ???? ????,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MT5Y_Wont_Breast_Feed,,Misc,??????? ???? ?? ????,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
