name,description,class,shortname,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,reference-term-source,reference-term-code,reference-term-relationship
PNCM_Number,,Misc,पि. एन. सी. नं.,Numeric,,,,,,,,,,,,,,,,
GLOBAL_Location_Home,,Misc,घर,N/A,,,,,,,,,,,,,,,,
GLOBAL_Location_Hospital,,Misc,अस्पताल,N/A,,,,,,,,,,,,,,,,
GLOBAL_Location_Clinic,,Misc,अमृत क्लिनिक,N/A,,,,,,,,,,,,,,,,
GLOBAL_delivery location,,Misc,प्रसव का स्थान,Coded,,,,,,,GLOBAL_Location_Home,GLOBAL_Location_Hospital,GLOBAL_Location_Clinic,,,,,,,
PNC_C_Date,,Misc,प्रसव की तारीख,Date,,,,,,,,,,,,,,,,
PNC_C_Mother_Birth_Weight,,Misc,जन्म के दिन वजन (कि. ग्रा.),Numeric,,,,,,,,,,,,,,,,
PNC_C_How many months pregnancy,,Misc,कितने माह का गर्भ,Numeric,,,,,,,,,,,,,,,,
PNC_C_Delivery_Period_Term,,Misc,टर्म,N/A,,,,,,,,,,,,,,,,
PNC_C_Delivery_Period_Pre-Term,,Misc,प्रीटर्म,N/A,,,,,,,,,,,,,,,,
PNC_C_Delivery_Period_PaxTreme_Pre-Term,,Misc,एक्सट्रीम प्रीटर्म,N/A,,,,,,,,,,,,,,,,
PNC_C_Delivery_Period_In_Weeks,,Misc,प्रसव की अवधी (हफ़्तों में),Coded,,,,,,,PNC_C_Delivery_Period_Term,PNC_C_Delivery_Period_Pre-Term,PNC_C_Delivery_Period_PaxTreme_Pre-Term,,,,,,,
PNC_C_1,,Misc,1,N/A,,,,,,,,,,,,,,,,
PNC_C_2,,Misc,2,N/A,,,,,,,,,,,,,,,,
PNC_C_3,,Misc,3,N/A,,,,,,,,,,,,,,,,
PNC_C_4,,Misc,4,N/A,,,,,,,,,,,,,,,,
PNC_C_5,,Misc,5,N/A,,,,,,,,,,,,,,,,
PNC_C_6,,Misc,6,N/A,,,,,,,,,,,,,,,,
PNC_C_Which_Visit,,Misc,कौनसी विजिट,Coded,,,,,,,PNC_C_1,PNC_C_2,PNC_C_3,PNC_C_4,PNC_C_5,PNC_C_6,,,,
PNC_Visit_Date,,Misc,????? ?? ?????,Date,,,,,,,,,,,,,,,,
PNC_C_Visit_Location_Clinic,,Misc,क्लिनिक,N/A,,,,,,,,,,,,,,,,
PNC_C_Visit_Location_OutReach,,Misc,आउटरीच,N/A,,,,,,,,,,,,,,,,
PNC_C_Visit_Location,,Misc,विजिट का स्थान,Coded,,,,,,,PNC_C_Visit_Location_Clinic,PNC_C_Visit_Location_OutReach,,,,,,,,
PNCM_Mother's_Weight,,Misc,"	माँ का वजन (कि. ग्रा.)",Numeric,,,,,,,,,,,,,,,,
PNCM_Feeling_Good,,Misc,अच्छा,N/A,,,,,,,,,,,,,,,,
PNCM_Feeling_Not_Good,,Misc,अच्छा नहीं,N/A,,,,,,,,,,,,,,,,
PNCM_How_are_you_feelling,,Misc,आपको कैसा महसूस हो रहा है?,Coded,,,,,,,PNCM_Feeling_Good,PNCM_Feeling_Not_Good,,,,,,,,
Ans_option_yes_hindi,,Misc,हाँ,N/A,,,,,,,,,,,,,,,,
Ans_option_no_hindi,,Misc,नहीं,N/A,,,,,,,,,,,,,,,,
PNCM_Is_fever_to_you,,Misc,क्या आपको बुखार है?,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,,,
Ans_option_yes_hindi,,Misc,हाँ,N/A,,,,,,,,,,,,,,,,
Ans_option_no_hindi,,Misc,नहीं,N/A,,,,,,,,,,,,,,,,
PNCM_Is_there_smelly_discharge,,Misc,क्या आपको बदबुदार स्त्राव हो रहा है?,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,,,
Ans_option_yes_hindi,,Misc,हाँ,N/A,,,,,,,,,,,,,,,,
Ans_option_no_hindi,,Misc,नहीं,N/A,,,,,,,,,,,,,,,,
PNCM_Is_there_dysuria,,Misc,क्या आपके पेशाब में जलन है?,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,,,
Ans_option_yes_hindi,,Misc,हाँ,N/A,,,,,,,,,,,,,,,,
Ans_option_no_hindi,,Misc,नहीं,N/A,,,,,,,,,,,,,,,,
PNCM_Is_there_pain_at_bottom_area,,Misc,क्या आपके पेट के निचले भाग में दर्द है?,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,,,
Ans_option_yes_hindi,,Misc,हाँ,N/A,,,,,,,,,,,,,,,,
Ans_option_no_hindi,,Misc,नहीं,N/A,,,,,,,,,,,,,,,,
PNCM_Is_there_bledding_continuously,,Misc,क्या आपको खून जाना जारी है?,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,,,
Ans_option_yes_hindi,,Misc,हाँ,N/A,,,,,,,,,,,,,,,,
Ans_option_no_hindi,,Misc,नहीं,N/A,,,,,,,,,,,,,,,,
PNCM_Is_there_need_to_change_morethan_5_pad,,Misc,क्या आपको एक दिन में 5 से अधिक PAD की जरुरत है?,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,,,
PNCM_Taken_Food_Complement,,Misc,पूरक,N/A,,,,,,,,,,,,,,,,
PNCM_Taken_Food_Non-Essential,,Misc,अपूरक,N/A,,,,,,,,,,,,,,,,
PNCM_from_yesterday_you_have_taken_food,,Misc,कल से आज तक आपने क्या खाया और पिया है?,Coded,,,,,,,PNCM_Taken_Food_Complement,PNCM_Taken_Food_Non-Essential,,,,,,,,
Pulse_motion,,Misc,नब्ज गति (प्रति मिनिट),Numeric,,,,,,,,,,,,,,,,
Blood_pressure,,Misc,रक्तचाप सिस्टोलिक (mmHg),Numeric,,,,,,,,,,,,,,,,
Blood_pressure_Distolic,,Misc,रक्तचाप डायास्टोलिक (mmHg),Numeric,,,,,,,,,,,,,,,,
breathingRate,,Misc,सांस की दर (प्रति मिनिट),Numeric,,,,,,,,,,,,,,,,
PNC_SPO2,,Misc,SpO2 (%),Numeric,,,,,,,,,,,,,,,,
PNCM_anemic_Severe_Fade,,Misc,गंभीर फीकापन,N/A,,,,,,,,,,,,,,,,
PNCM_anemic_Fade,,Misc,फीकापन,N/A,,,,,,,,,,,,,,,,
PNCM_anemic_pink,,Misc,गुलाबी,N/A,,,,,,,,,,,,,,,,
PNCM_anemic,,Misc,"खून की कमी (आँख, जीभ, त्वचा देखने पर)",Coded,,,,,,,PNCM_anemic_Severe_Fade,PNCM_anemic_Fade,PNCM_anemic_pink,,,,,,,
PNCM_Hemoglobin,,Misc,हिमोग्लोबिन (gm/dL),Numeric,,,,,,,,,,,,,,,,
PNCM_Hemoglobin_Abnormal,,Abnormal,Abnormal,Boolean,,,,,,,,,,,,,,,,
PNC_C_Temprature,,Misc,तापमान (फ),Numeric,,,,,,,,,,,,,,,,
PNC_C_Temprature_Abnormal,,Abnormal,Abnormal,Boolean,,,,,,,,,,,,,,,,
Ans_option_yes_hindi,,Misc,हाँ,N/A,,,,,,,,,,,,,,,,
Ans_option_no_hindi,,Misc,नहीं,N/A,,,,,,,,,,,,,,,,
PNCM_breasts_check_nipple_flap,,Misc,निप्पल चपटे या धँसें,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,,,
Ans_option_yes_hindi,,Misc,हाँ,N/A,,,,,,,,,,,,,,,,
Ans_option_no_hindi,,Misc,नहीं,N/A,,,,,,,,,,,,,,,,
PNCM_breasts_check_nipple_cut,,Misc,निप्पल का कटाव,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,,,
Ans_option_yes_hindi,,Misc,हाँ,N/A,,,,,,,,,,,,,,,,
Ans_option_no_hindi,,Misc,नहीं,N/A,,,,,,,,,,,,,,,,
PNCM_breasts_check_pain on_thrombing_or_pressing_on_breasts,,Misc,स्तनों पर ललाई या दबाने पर दर्द,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,,,
Ans_option_yes_hindi,,Misc,हाँ,N/A,,,,,,,,,,,,,,,,
Ans_option_no_hindi,,Misc,नहीं,N/A,,,,,,,,,,,,,,,,
PNCM_breasts_check_excessive_amount_of_milk,,Misc,दूध का अत्यधिक जमाव,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,,,
Ans_option_yes_hindi,,Misc,हाँ,N/A,,,,,,,,,,,,,,,,
