name,description,class,shortname,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,reference-term-source,reference-term-code,reference-term-relationship
PNCM_Number,,Misc,??. ??. ??. ??.,Numeric,,,,,,,,,,,,,,
PNCM_Date_Of_Delivery,,Misc,प्रसव की तारीख,Date,,,,,,,,,,,,,,
PNCM_Mother's_Weight,,Misc,माँ का वजन (कि. ग्रा),Numeric,,,,,,,,,,,,,,
PNC_C_Date,,Misc,????? ?? ?????,Date,,,,,,,,,,,,,,
PNC_C_Delivery_Period_Term,,Misc,????,N/A,,,,,,,,,,,,,,
PNC_C_Delivery_Period_Pre-Term,,Misc,????????,N/A,,,,,,,,,,,,,,
PNC_C_Delivery_Period_PaxTreme_Pre-Term,,Misc,??????????,N/A,,,,,,,,,,,,,,
PNC_C_Delivery_Period_In_Weeks,,Misc,????? ?? ???? (?????? ???),Coded,,,,,,,PNC_C_Delivery_Period_Term,PNC_C_Delivery_Period_Pre-Term,PNC_C_Delivery_Period_PaxTreme_Pre-Term,,,,,
PNC_C_1,,Misc,1,N/A,,,,,,,,,,,,,,
PNC_C_2,,Misc,2,N/A,,,,,,,,,,,,,,
PNC_C_3,,Misc,3,N/A,,,,,,,,,,,,,,
PNC_C_4,,Misc,4,N/A,,,,,,,,,,,,,,
PNC_C_5,,Misc,5,N/A,,,,,,,,,,,,,,
PNC_C_6,,Misc,6,N/A,,,,,,,,,,,,,,
PNC_C_Which_Visit,,Misc,????? ?????,Coded,,,,,,,PNC_C_1,PNC_C_2,PNC_C_3,PNC_C_4,PNC_C_5,PNC_C_6,,
PNC_C_Visit_Location_Clinic,,Misc,???????,N/A,,,,,,,,,,,,,,
PNC_C_Visit_Location_OutReach,,Misc,??????,N/A,,,,,,,,,,,,,,
PNC_C_Visit_Location,,Misc,????? ?? ?????,Coded,,,,,,,,,,,,,,
PNCM_How_are_you_feelling_Option1,,Misc,अच्छा,N/A,,,,,,,,,,,,,,
PNCM_How_are_you_feelling_Option2,,Misc,Option 2,N/A,,,,,,,,,,,,,,
PNCM_How_are_you_feelling_Option3,,Misc,Option 3,N/A,,,,,,,,,,,,,,
PNCM_How_are_you_feelling,,Misc,आपको कैसा महसूस हो रहा है ?,Coded,,,,,,,PNCM_How_are_you_feelling_Option1,PNCM_How_are_you_feelling_Option2,PNCM_How_are_you_feelling_Option3,,,,,
PNCM_Is_fever_to_you,,Misc,क्या आपको बुखार है ?,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,
PNCM_Is_there_smelly_discharge,,Misc,क्या आपको बदबूदार स्त्राव हो रहा है ?,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,
PNCM_Is_there_dysuria,,Misc,क्या आपके पेशाब में जलन है ?,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,
PNCM_Is_there_pain_at_bottom_area,,Misc,क्या आपके पेट के निचले भाग में दर्द है ?,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,
PNCM_Is_there_bledding_continuously,,Misc,क्या आपका खून जाना जारी है ?,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,,
