name,description,class,shortname,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,reference-term-source,reference-term-code,reference-term-relationship
PNC_C_Birth_Weight,,Misc,जन्म के दिन वजन,Numeric,,,,,,,,,,,,,
PNC_C_In 32 weeks (long before the time),,Test,< 32 हफ्तों में (समय से बहुत पहले),Numeric,,,,,,,,,,,,,
PNC_C_32 - 36 weeks (before time),,Misc,32 - 36 हफ्तों में (समय से पहले),N/A,,,,,,,,,,,,,
PNC_C_37 - 42 weeks (on time),,Misc,37 - 42 हफ्तों में (समय पर),N/A,,,,,,,,,,,,,
PNC_C_When was delivery,,Misc,प्रसव कब हुआ,Coded,,,,,,,PNC_C_In 32 weeks (long before the time),PNC_C_32 - 36 weeks (before time),PNC_C_37 - 42 weeks (on time),,,,
PNC_C_How many months pregnancy,,Misc,कितने माह का गर्भ (माह),Numeric,,,,,,,,,,,,,
GLOBAL_Location_Home,,Misc,घर,N/A,,,,,,,,,,,,,
GLOBAL_Location_Hospital,,Misc,अस्पताल,N/A,,,,,,,,,,,,,
GLOBAL_Location_Clinic,,Misc,अमृत क्लिनिक,N/A,,,,,,,,,,,,,
GLOBAL_delivery location,,Misc,प्रसव का स्थान,Coded,,,,,,,GLOBAL_Location_Home,GLOBAL_Location_Hospital,GLOBAL_Location_Clinic,,,,
PNC_C_Ask Mother - do you have any problems related to the newborn?,,Misc,माँ से पूछे – क्या आपको नवजात सम्बन्धी कोई परेशानी है ?,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,
Temprature (F),,Misc,तापमान (°F),Numeric,,,,,,,,,,,,,
RR Abnormal,,Abnormal,Temperature Abnormal,Boolean,,,,,,,,,,,,,
PNC_Weight,,Misc,वजन (कि. ग्रा.),Numeric,,,,,,,,,,,,,
GLOBAL_breathingRate,,Misc,एक मिनट के लिए सांस की दर गिनें,Numeric,,,,,,,,,,,,,
GLOBAL_See ribs,,Misc,पसली धंसना देखें,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,
GLOBAL_Groan,,Misc,कराहना,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,
PNC_C_Navel is red or brittle,,Misc,नाभि लाल या पीप है,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,
PNC_C_Rubbish-pimple On Body,,Misc,बदन पर फोड़ें-फुंसी हैं,Coded,,,,,,,Ans_option_yes_hindi,Ans_option_no_hindi,,,,,
GLOBAL_Ans_option_good,,Misc,अच्छा है,N/A,,,,,,,,,,,,,
GLOBAL_Ans_option_Not_At_ALL,,Misc,बिल्कुल नहीं है,N/A,,,,,,,,,,,,,
Ans_option_Not_good,,Misc,ठीक नहीं है,N/A,,,,,,,,,,,,,
PNC_C_How is the childs attachment to the breast,,Misc,बच्चे का स्तन से लगाव कैसा है,Coded,,,,,,,GLOBAL_Ans_option_good,GLOBAL_Ans_option_Not_At_ALL,Ans_option_Not_good,,,,
Ans_option_Not_good,,Misc,ठीक नहीं है,N/A,,,,,,,,,,,,,
PNC_C_Is the mother breastfeeding effectively,,Misc,क्या माँ प्रभावी ढंग से स्तनपान करा रही है,Coded,,,,,,,GLOBAL_Ans_option_good,GLOBAL_Ans_option_Not_At_ALL,Ans_option_Not_good,,,,
