name,description,class,shortname,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,reference-term-source,reference-term-code,reference-term-relationship
WEIGHT,,Misc,WEIGHT,Numeric,,,,,,,,,,,,,,
HEIGHT,,Misc,HEIGHT,Numeric,,,,,,,,,,,,,,
TB_Intake_BMI,,Misc,BMI,Numeric,,,,,,,,,,,,,,
TB_Intake_ATT_start,,Misc,ATT Start,Date,,,,,,,,,,,,,,
TB_Intake_CAT_New_Patient,,Misc,New Patient,N/A,,,,,,,,,,,,,,
TB_Intake_CAT_MDR,,Misc,MDR,N/A,,,,,,,,,,,,,,
TB_Treatment_Defaulter,,Misc,Defaulter,N/A,,,,,,,,,,,,,,
TB_Intake_CAT,,Misc,CAT,Coded,,,,,,,TB_Intake_CAT_New_Patient,TB_Intake_CAT_MDR,TB_Treatment_Defaulter,,,,,
TB_Intake_Occupation_History_Option1,,Misc,Option1,N/A,,,,,,,,,,,,,,
TB_Intake_Occupation_History_Option2,,Misc,Option2,N/A,,,,,,,,,,,,,,
TB_Intake_Occupation_History,,Misc,Occupation History,Coded,,,,,,,TB_Intake_Occupation_History_Option1,TB_Intake_Occupation_History_Option2,,,,,,
TB_Intake_No_of_years,,Duration,years,Numeric,,,,,,,,,,,,,,
TB_Intake_Past_History,,Misc,Past History of having received TB treatment,Boolean,,,,,,,,,,,,,,
TB_Intake_Past_His_Reason_Relapsed,,Misc,Relapsed,N/A,,,,,,,,,,,,,,
TB_Intake_Past_His_Reason_Treatment_Failure,,Misc,Treatment failure,N/A,,,,,,,,,,,,,,
AMRIT_TB_Treatment_Defaulter,,Misc,Defaulter,N/A,,,,,,,,,,,,,,
TB_Intake_Past_His_Reason,,Misc,Reason,Coded,,,,,,,TB_Intake_Past_His_Reason_Relapsed,TB_Intake_Past_His_Reason_Treatment_Failure,AMRIT_TB_Treatment_Defaulter,,,,,
TB_Intake_Treatment_Plan_Option1,,Misc,Option1,N/A,,,,,,,,,,,,,,
TB_Intake_Treatment_Plan_Option2,,Misc,Option2,N/A,,,,,,,,,,,,,,
TB_Intake_Treatment_Plan,,Misc,Treatment Plan,Coded,,,,,,,TB_Intake_Treatment_Plan_Option1,TB_Intake_Treatment_Plan_Option2,,,,,,
TB_Intake_X-Ray_Option1,,Misc,Option1,N/A,,,,,,,,,,,,,,
TB_Intake_X-Ray_Option2,,Misc,Option2,N/A,,,,,,,,,,,,,,
TB_Intake_X-Ray,,Misc,X-Ray,Coded,,,,,,,TB_Intake_X-Ray_Option1,TB_Intake_X-Ray_Option2,,,,,,
TB_Intake_Service_TB_Loan_RSSA,,Misc,TB Loan (RSSA),N/A,,,,,,,,,,,,,,
TB_Intake_Service_Social_Security_Scheme,,Misc,Social Security Scheme,N/A,,,,,,,,,,,,,,
TB_Intake_Service_Training,,Misc,Training,N/A,,,,,,,,,,,,,,
TB_Intake_Service_Nutrition_Program,,Misc,Nutrition Program,N/A,,,,,,,,,,,,,,
TB_Intake_Link_Patient_To_Aajeevika_Other_Services,,Misc,Link Patient to Other services,Coded,,,,,,,TB_Intake_Service_TB_Loan_RSSA,TB_Intake_Service_Social_Security_Scheme,TB_Intake_Service_Training,TB_Intake_Service_Nutrition_Program,,,,
