"uuid","name","description","class","shortname","child.1","child.2","child.3","child.4","child.5","child.6","child.7","child.8","child.9","child.10","child.11","child.12","child.13","child.14","child.15","child.16","child.17","child.18","child.19","child.20","reference-term-source","reference-term-code","reference-term-relationship"
"39d61d39-871c-4305-ad03-350d24dd6b55","ACS_Visit_Type",,"ConvSet","Visit Type","GLOBAL_Type_Of_Visit","","","","","","","","","","","","","","","","","","","",,,
"c36a7537-3f10-11e4-adec-0800271c1b75","Vitals",,"ConvSet","Nutrition Status","Global_weight","Global_height","BMI","Lab_Hemoglobin","","","","","","","","","","","","","","","","",,,
"93a53a57-9db2-490f-9a98-6f5fd7ff4b18","ACS_General_Section",,"ConvSet","General","ACS_General","ACS_General_Duration","","","","","","","","","","","","","","","","","","",,,
"7a67dfe5-2639-41b1-aeda-35fca372813e","ACS_Respiratory_CVS_Section",,"ConvSet","Respiratory/CVS","ACS_Respiratory_CVS","ACS_Resp_Duration","","","","","","","","","","","","","","","","","","",,,
"c5d46c0c-1989-4b28-9a14-4f8c859e9483","ACS_Abdominal_Pain_Section",,"ConvSet","Abdominal","ACS_Abdominal_Pain","ACS_Location","ACS_AB_Pain_Duration","","","","","","","","","","","","","","","","","",,,
"32568da8-047f-465c-8805-3cee16a3a213","ACS_Skin_Section",,"ConvSet","Skin","ACS_Skin","ACS_Skin_Duration","","","","","","","","","","","","","","","","","","",,,
"5edea383-467e-42d3-a783-77af35377ada","ACS_Eyes_Section",,"ConvSet","Eyes","ACS_Eyes_Problems","ACS_Eye_Prob_Duration","","","","","","","","","","","","","","","","","","",,,
"b018aa75-212f-43f0-8f72-ea24f4470f54","ACS_Muscular_Skeletal_Section",,"ConvSet","Muscular Skeletal","ACS_Muscular_skeletal","ACS_Mus_Skltn_Duration","","","","","","","","","","","","","","","","","","",,,
"5b9124c2-81d9-4625-b194-a9399d25bbed","ACS_Others_Section",,"ConvSet","Others","ACS_Others","ACS_Other_Duration","","","","","","","","","","","","","","","","","","",,,
"42051bb6-a587-4c20-9563-a9b8f68454cd","ACS_History",,"ConvSet","History","ACS_General_Section","ACS_Respiratory_CVS_Section","ACS_Abdominal_Pain_Section","ACS_Skin_Section","ACS_Eyes_Section","ACS_Muscular_Skeletal_Section","ACS_Others_Section","","","","","","","","","","","","","",,,
"0568cd54-bf1c-4804-83c0-90fe93c2aef9","ACS_PERSONAL HISTORY",,"ConvSet","Personal History","ACS_Addiction","ACS_Past history","","","","","","","","","","","","","","","","","","",,,
"7d4b1e55-6f95-4994-99dc-37a4f4335a71","ACS_Gravida_Data",,"Concept Details","Gravida","ACS_O_H_Gravida","ACS_Gravida_Abnormal","","","","","","","","","","","","","","","","","","",,,
"0e00089f-0b78-4af8-b91f-1377ccfb7fa2","ACS_Para_Data",,"Concept Details","Parity","ACS_O_H_Para","ACS_Para_Abnormal","","","","","","","","","","","","","","","","","","",,,
"c81d3b79-6152-4886-8a60-a3fcaf5d5467","ACS_OBS_GYNAE_HISTORY",,"ConvSet","Obstetric History","ACS_Past history_LMP","ACS_Gravida_Data","ACS_Para_Data","ACS_OH_Abortions","ACS_OH_Still_births","ACS_OH_Child_Death","","","","","","","","","","","","","","",,,
"ce22361a-9e56-47b4-bf3c-d66ca496c3ad","ACS_Gynac_History_Section",,"ConvSet","Gynaecological History","ACS_Gynaecological_History","ACS_Gynac_His_Duration","ACS_O_H_Wants_contraception","","","","","","","","","","","","","","","","","",,,
"6d379a80-30f8-4692-875a-7d7563010379","ACS_CF_Reproductive_tract",,"ConvSet","Reproductive Tract","ACS_Genitals","ACS_P_S","ACS_Tenderness_Pv","ACS_P_V_Uterus_Size","ACS_Injury_Site","","","","","","","","","","","","","","","",,,
"2e7ec258-6f50-4677-9b90-9cdb685f9d7e","ACS_CLINICAL FINDINGS",,"ConvSet","Clinical Findings","ACS_CF_General","ACS_Lymph_nodes","ACS_Throat","ACS_Auscultation","ACS_Abdomen","ACS_Abdomen_Location","ACS_CNS","ACS_CVS_Condition","ACS_Joints","ACS_No_of_joints_involved","ACS_If swelling location","ACS_Skin_Condition","ACS_Eye","ACS_Vision_Right","ACS_Vision_Left","ACS_Ear","ACS_Ear_Side","ACS_Breast_Right","ACS_CF_Reproductive_tract","",,,
"90141253-02a3-43ae-a08b-63f1fda9ff7f","ACS_DIAGNOSIS",,"ConvSet","Diagnosis","ACS_ADULT_Diagnosis","ACS_Sever_Illness","","","","","","","","","","","","","","","","","","",,,
"afe2ea21-44ae-4bab-ba01-b5274b75bbea","GLOBAL_Fee_Section",,"ConvSet","Fee Details","Receipt_number","Fees_Amount","","","","","","","","","","","","","","","","","","",,,
"54ea4616-ba7b-40af-9ab3-67aa77ea0316","ADULT_Case_Sheet_New",,"ConvSet","Adult Case Sheet","ACS_Visit_Type","Vitals","ACS_History","ACS_PERSONAL HISTORY","ACS_FAMILY HISTORY","ACS_OBS_GYNAE_HISTORY","ACS_Gynac_History_Section","ACS_CLINICAL FINDINGS","ACS_DIAGNOSIS","ACS_ADULT_Diagnosis","GLOBAL_Patient_Referred","GLOBAL_Patient_Admitted","GLOBAL_Fee_Section","GLOBAL_FollowUpDate","GLOBAL_Doctors_Name","GLOBAL_Nurse_Name","","","","",,,
