"uuid","name","description","class","shortname","child.1","child.2","child.3","child.4","child.5","child.6","child.7","child.8","child.9","child.10","child.11","child.12","child.13","child.14","child.15","child.16","child.17","child.18","reference-term-source","reference-term-code","reference-term-relationship"
"898e5590-4105-485d-8b7e-e5db87d11e8a","2MT5Y_Heart_Rate_Data",,"Concept Details","हार्ट रेट (प्रति मिनट)","2MT5Y_Heart_Rate","2MT5Y_Heart_Rate_Abnormal","","","","","","","","","","","","","","","","",,,
"9474c522-2410-4d12-8110-3df2abc544c5","2MT5Y_Breath_Rate_Data",,"Concept Details","सांस की दर (प्रति मिनट)","2MT5Y_Breath_Rate","2MT5Y_Breath_Rate_Abnormal","","","","","","","","","","","","","","","","",,,
"ff6faa01-eee9-4f60-94d0-33bac10007b8","Global_Hindi_Tem_Data",,"Concept Details","तापमान (फ)","GLOBAL_Hindi_Temprature","GLOBAL_Hindi_Temp_Abnormal","","","","","","","","","","","","","","","","",,,
"697a7ff2-458e-49a5-bd5b-69bb68154c62","2MT5Y_SPO2_Data",,"Concept Details","SpO2","2MT5Y_SPO2","2MT5Y_SPO2_AbnormL","","","","","","","","","","","","","","","","",,,
"43088829-7c4b-4a1c-9aff-0311f8dafc96","2MT5Y_Section_1",,"ConvSet","Vital Parameters","2MT5Y_Heart_Rate_Data","2MT5Y_Breath_Rate_Data","Global_Hindi_Tem_Data","2MT5Y_SPO2_Data","GLOBAL_Infant_Weight","GLOBAL_Infant_Height","Lab_Hemoglobin","","","","","","","","","","","",,,
"de012146-bf27-4233-80df-22807f241483","2MT5Y_Section_2",,"ConvSet","खतरे  के लक्षण","2MT5Y_Danger_Common_Symptoms","2MT5Y_Difficulty_Coughing_Breathing","2MT5Y_How_Many_Days","2MT5Y_Fast_Breath","2MT5Y_Ribs_Fall","2MT5Y_Auscultation","2MT5Y_Pneumonia_Classification","","","","","","","","","","","",,,
"e674f47e-567c-4977-ab6b-a1eef570b84e","2MT5Y_Section_3",,"ConvSet","दस्त","2MT5Y_Does_Child _Have_Diarrhea","2MT5Y_D_How_Many_Days","2MT5Y_Dehydration_Symptoms","2MT5Y_Blood_In_Stool","2MT5Y_Diarrhea_Classification","","","","","","","","","","","","","",,,
"3e838fa0-6d00-443e-b471-30e677c2a060","2MT5Y_Section_4",,"ConvSet","बुखार","2MT5Y_Does_Baby_Have_Fever","2MT5Y_From_How_many_Days","2MT5Y_Any_Of_These_Symptoms","2MT5Y_RDK","2MT5Y_Fever_Classification","","","","","","","","","","","","","",,,
"b18abf59-8b40-4fd6-ab34-7c840ccd04e0","2MT5Y_Hemoglobin_Data",,"Concept Details","हीमोग्लोबिन","2MT5Y_Hemoglobin","2MT5Y_Hemoglobin_Abnormal","","","","","","","","","","","","","","","","",,,
"970d65ac-d12f-4ffa-9e85-392c309989bd","2MT5Y_Section_5",,"ConvSet","एनीमिया","2MT5Y_Dryness_On_Hands","2MT5Y_Hemoglobin_Data","2MT5Y_Anemia_Classification","","","","","","","","","","","","","","","",,,
"bca9f190-794f-4f53-99fa-3df9b728a17c","2MT5Y_Section_7",,"ConvSet","कुपोषण","2MT5Y_Feed_Estimation","2MT5Y_Malnutrition_Grade_Determine","2MT5Y_Does_Child_Have_Severe_Malnutrition","2MT5Y_Treatment_Of_Severe_Malnutrition","2MT5Y_TB_History","2MT5Y_Any_Disease_Condition","2MT5Y_If_Other_Specify","2MT5Y_Is_SAM_complications","2MT5Y_Mantoux_Test","2MT5Y_Appetite_Test","2MT5Y_Peanut_Allergy","2MT5Y_Number_Of_RUTF_Packets","2MT5Y_Child_Recovery_From_SAM","","","","","",,,
"208674ac-b3e5-416e-9428-ec853f005501","2MT5Y_Section_8",,"ConvSet","अन्य","2M_any_other_Problem","","","","","","","","","","","","","","","","","",,,
"74a9eac2-2d96-48b8-bdf0-e59a97ee5489","Z Scores",,"ConvSet",,"WHZ","WAZ_Color","","","","","","","","","","","","","","","","",,,
"cc65b187-d16a-46e0-a2c6-78582f3cb563","2MT5Y_Section_Diagnosis",,"ConvSet","डायग्नोसिस","2MT5Y_Diagnosis","2M_Serious_Illness","","","","","","","","","","","","","","","","",,,
"340580fa-3d67-4d55-991e-23866e921d50","2MT5Y_Vargikaran_section",,"ConvSet","वर्गीकरण","2MT5Y_Poshan_stithi","2MT5Y_Anemia_stithi","","","","","","","","","","","","","","","","",,,
"afe2ea21-44ae-4bab-ba01-b5274b75bbea","GLOBAL_Fee_Section",,"ConvSet","Fee Details","Receipt_number","Fees_Amount","","","","","","","","","","","","","","","","",,,
"33a2981b-a060-4613-b941-b002137252a4","Care of 2 months to 5 years infant",,"Misc","Child 2 Months to 5 Years Case Sheet","GLOBAL_Type_Of_Visit","2MT5Y_Section_1","2MT5Y_Section_2","2MT5Y_Section_3","2MT5Y_Section_4","2MT5Y_Section_5","2MT5Y_Section_7","2MT5Y_Section_8","Z Scores","2MT5Y_Section_Diagnosis","2MT5Y_Vargikaran_section","GLOBAL_Patient_Referred","GLOBAL_Patient_Admitted","GLOBAL_Fee_Section","GLOBAL_Follow up after","GLOBAL_Doctors_Name","GLOBAL_Nurse_Name","",,,
