uuid,name,description,class,shortname,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,answer.14,answer.15,answer.16,answer.17,answer.18,answer.19,answer.20,reference-term-source,reference-term-code,reference-term-relationship
45b52064-302f-441a-998c-5af63e1acdbc,Del_Date_of_Admission,,Misc,Date of Admission,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0836b9ed-e90d-4801-bbcd-fa9db55597f1,Del_Delivery_Date,,Misc,Date of Delivery,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9617232c-b039-42fc-98b0-76fadda6d622,Del_Date_And _Time,,Misc,Admission date and time,Datetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84f19e3a-f068-49ad-b991-f67e50cf5698,Global_Location_Visit_Clinic,,Misc,Clinic,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906d25a8-97ee-4619-9ea5-d31269aba3d6,Global_Location_Visit_Elsewhere,,Misc,Elsewhere,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bc4c5f88-bb9b-49fb-9215-e94da845c798,Global_Location_Visit,,Misc,Location of Visit,Coded,,,,,,,Global_Location_Visit_Clinic,Global_Location_Visit_Elsewhere,,,,,,,,,,,,,,,,,,,,,
003643ec-bff3-4f38-9471-aea9d141d6a5,Del_Gravida,,Misc,Gravida,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07614dcd-3183-4cb8-a90f-9fd2f7e8591c,Del_Gravida_Abnormal,,Abnormal,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800f67da-3ac4-4705-b031-3a553a1f4966,Del_Parity,,Misc,Parity,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18a7b8fd-a2f3-45ea-b49a-ea2065e656f8,Del_Parity_Abnormal,,Abnormal,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03511518-9f07-4bc5-a42c-4e7b1d125dc1,Del_Abortions,,Misc,Abortions,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786adad6-f0f7-48d9-bc26-1efdbc4d193f,Del_Abortions_Abnormal,,Abnormal,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecc49786-b005-4dd8-89cf-f60600400cf9,Del_Live_Births,,Misc,Live Births,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e64ce9dc-7f26-4b4a-a057-267e5a36279a,Del_Live_Births_Abnormal,,Abnormal,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1aba3f67-adb2-4268-aa74-acce5c52ce0a,Del_Still_Births,,Misc,Still Births,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0b08ebf-87ae-4fc9-9771-d1d67b28946d,Del_Still_Births_Abnormal,,Abnormal,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2ea3f40b-611d-4b6b-852f-de0ccb967cc9,Del_Neonatal_Death,,Misc,Neonatal Death,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d6368468-6712-41bc-8ec5-fc262af8bfd8,Del_Neonatal_Death_Abnormal,,Abnormal,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a399f122-6dfa-4c83-b433-a76b9f5a7ac6,Global_weight,,Misc,Weight,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bee75b79-d3d2-4142-9fe1-4d7a813465cc,Del_Height,,Misc,Height,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96f65e17-229c-469c-913b-ff23feefc5c5,Del_Hemoglobin,,Misc,Hemoglobin,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0e494d76-b50b-4c86-8508-c099783bb146,Del_Hemoglobin_Abnormal,,Abnormal,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8bbf32d-415b-4d50-97ba-84972a46cb9a,Del_N_born_sex_M,,Misc,Male,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ded29675-b1f9-46ce-bf58-58c63e4754fd,Del_N_born_sex_F,,Misc,Female,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4701c051-e4f7-4950-9efd-2a7ffd0004f5,Del_N_born_sex,,Misc,New born sex,Coded,,,,,,,Del_N_born_sex_M,Del_N_born_sex_F,,,,,,,,,,,,,,,,,,,,,
47274ecd-dd41-4986-a68d-55fed7fbe52e,ANC_High_risk,,Misc,High risk?,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2d487cfb-36d9-4eda-af2f-44bd6da103ae,Del_Any_High_risk_APH,,Misc,APH,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82471da6-daf1-4bcc-873e-cad58d859cec,Del_BOH,,Misc,BOH,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bad087fc-65b5-456f-803e-f5f38696c183,Del_breech,,Misc,Breech,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426f54a1-d7ed-4615-b33a-316352e2e6e8,Del_HIV+,,Misc,HIV +,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1cdc2085-5a0f-40a1-bca9-7eb0c25421a7,Del_Malaria,,Misc,Malaria,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7a65dae1-e346-418f-882f-2121fac354d5,Del_obstructed_labour2,,Misc,Obstructed Labour,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0db3de52-bc76-4617-a04d-b11b959ad0be,Del_PIH,,Misc,PIH,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352fd0b2-b732-44e2-b6ef-b5421d5f7e77,Del_Premature_labour,,Misc,Premature Labour,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ee1ff93a-d4dc-4cd4-9a2c-a2d9bdcec16f,Del_previous_CS,,Misc,Previous Cesarean section,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b822fb39-0645-4e9f-ba49-31ce8829b913,Del_PROM,,Misc,PROM,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26842dfd-2426-4d8e-b2cd-9b856d448f14,Del_Severe_anemia,,Misc,Severe Anemia,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd755f66-2255-4e1f-bdd6-985afdb6b4e8,Del_short_stature,,Misc,Short Stature,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ae8758bc-d11b-4df8-84b5-0acfae65d8bf,Del_VDRL+,,Misc,VDRL +,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e127b100-0f9e-4dce-a641-b0a73070a267,Del_Any_High_risk,,Misc,High Risk,Coded,,,,,,,Del_Any_High_risk_APH,Del_BOH,Del_breech,Del_HIV+,Del_Malaria,Del_obstructed_labour2,Del_PIH,Del_Premature_labour,Del_previous_CS,Del_PROM,Del_Severe_anemia,Del_short_stature,Del_VDRL+,,,,,,,,,,
e911caed-7671-434c-acbb-ca9bdc2c7d24,Del_Outcome_Delivered_in_Clinic,,Misc,Delivered in AMRIT,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58b5f46e-370d-488e-97a8-ce7fcb936ba1,Del_Outcome_Referred,,Misc,Referred Before Delivery,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbf9eee9-9d63-4456-a422-69e71b07cd6e,Del_Outcome_LAMA,,Misc,LAMA,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42d8a708-f345-496f-b633-4d4c8ec56a63,Del_labour_False_labour,,Misc,False Labour,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5002bd11-95a2-4724-998c-d04c35f461eb,Del_Outcome,,Misc,Outcome,Coded,,,,,,,Del_Outcome_Delivered_in_Clinic,Del_Outcome_Referred,Del_Outcome_LAMA,Del_labour_False_labour,,,,,,,,,,,,,,,,,,,
352fd0b2-b732-44e2-b6ef-b5421d5f7e77,Del_Premature_labour,,Misc,Premature Labour,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26842dfd-2426-4d8e-b2cd-9b856d448f14,Del_Severe_anemia,,Misc,Severe Anemia,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2d487cfb-36d9-4eda-af2f-44bd6da103ae,Del_Any_High_risk_APH,,Misc,APH,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0db3de52-bc76-4617-a04d-b11b959ad0be,Del_PIH,,Misc,PIH,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82471da6-daf1-4bcc-873e-cad58d859cec,Del_BOH,,Misc,BOH,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ae8758bc-d11b-4df8-84b5-0acfae65d8bf,Del_VDRL+,,Misc,VDRL +,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426f54a1-d7ed-4615-b33a-316352e2e6e8,Del_HIV+,,Misc,HIV +,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b822fb39-0645-4e9f-ba49-31ce8829b913,Del_PROM,,Misc,PROM,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1cdc2085-5a0f-40a1-bca9-7eb0c25421a7,Del_Malaria,,Misc,Malaria,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26b40dbe-c9ac-4b07-b552-96fd34e896cc,Del_Sp_compli_prolonged labour,,Misc,Prolonged Labour,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd755f66-2255-4e1f-bdd6-985afdb6b4e8,Del_short_stature,,Misc,Short Stature,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bad087fc-65b5-456f-803e-f5f38696c183,Del_breech,,Misc,Breech,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a587522b-099e-4b05-8d9a-1921bf8b867f,Del_twins,,Misc,Twins,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ee1ff93a-d4dc-4cd4-9a2c-a2d9bdcec16f,Del_previous_CS,,Misc,Previous Cesarean section,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7a65dae1-e346-418f-882f-2121fac354d5,Del_obstructed_labour2,,Misc,Obstructed Labour,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b6e31b57-8688-4499-942f-d4d2abc96000,Del_SHR_Other,,Misc,Other,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b5c95e9d-dca2-446b-8fbc-51853036a867,Del_specify_reason,,Misc,"If Referred, Specify Reason",Coded,,,,,,,Del_Premature_labour,Del_Severe_anemia,Del_Any_High_risk_APH,Del_PIH,Del_BOH,Del_VDRL+,Del_HIV+,Del_PROM,Del_Malaria,Del_Sp_compli_prolonged labour,Del_short_stature,Del_breech,Del_twins,Del_previous_CS,Del_obstructed_labour2,Del_SHR_Other,,,,,,,
64306f61-2b61-42a1-ab60-a90c0e673de7,Del_Date_of_Delivery,,Misc,Date and Time of Delivery,Datetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12fc9cd4-1c16-44c9-a0c2-5def2752c18c,Del_complications_in_delivery,,Misc,Were There Complications in Delivery?,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b015f156-411d-4258-8262-41a0025e8466,Del_Sp_compli_Breech,,Misc,Breech,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1de03d88-b1e8-4f5e-b101-20df200cbd88,Del_Sp_compli_twins,,Misc,Twins,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06feb25b-f3ff-4659-a158-c3db10d137ca,Del_Sp_compli_PPH,,Misc,PPH,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92ac6043-4627-4463-bc8f-55244e43a3ec,Del_Sp_compli_pre-eclampsia,,Misc,Pre-Eclampsia,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26b40dbe-c9ac-4b07-b552-96fd34e896cc,Del_Sp_compli_prolonged labour,,Misc,Prolonged Labour,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9c927bc9-20cf-4469-a096-34745d021cc8,Del_Sp_compli_fetal distress,,Misc,Fetal Distress,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e8c2f0ff-b6a6-457b-8a49-23fd05fa07c3,Del_Sp_compli_severe anemia,,Misc,Severe Anemia,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bc0de7ff-0e62-4b95-ad78-62a0befb4327,Del_Sp_compli_other,,Misc,Other,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a19462d0-864b-4591-b8b1-92cbc23380ec,Del_Specify_complications,,Misc,Specify Complications,Coded,,,,,,,Del_Sp_compli_Breech,Del_Sp_compli_twins,Del_Sp_compli_PPH,Del_Sp_compli_pre-eclampsia,Del_Sp_compli_prolonged labour,Del_Sp_compli_fetal distress,Del_Sp_compli_severe anemia,Del_Sp_compli_other,,,,,,,,,,,,,,,
d9a3ce76-413b-4a33-babf-b34b9a7e017d,Del_OD_Live_birth,,Misc,Live Birth,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca1c8dc1-30ab-47cf-bca9-f35e4004a2e9,Del_OD_still birth,,Misc,Still Birth,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30885e54-962a-4ec5-b939-f9fd441f14bb,Del_Outcome_Delivery,,Misc,Outcome of Delivery,Coded,,,,,,,Del_OD_Live_birth,Del_OD_still birth,,,,,,,,,,,,,,,,,,,,,
6368475b-73bc-43bb-ad9b-136f1b48511e,Baby Delivered,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ef07e74-4e7c-485a-b499-958773993ab9,no complications,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f3118438-d0fc-46af-b73f-f5cfeed9efd5,with complications,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf385fa5-778b-46d7-9a2c-d48443c1d3e8,Low birth weight,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524a94ea-8e2a-4902-bd97-92ccf6808541,Labour Pains,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3e1654bb-7287-488b-b9c2-92b129bf6f1b,Baby delivered-Follow-up,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2b19c648-c93e-4930-a1d4-8872b3a2fa0c,PNC 1 Normal,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b77d83b1-3af2-4cda-b356-574b529a7b1e,Other_Diagnosis,,Misc,Other,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbadda52-cfde-4484-9d71-47a896ca89e9,Delivery_diagnosis,,Misc,Diagnosis,Coded,,,,,,,Baby Delivered,no complications,with complications,Low birth weight,Labour Pains,Baby delivered-Follow-up,PNC 1 Normal,Other_Diagnosis,,,,,,,,,,,,,,,
be141260-81e4-4b02-a4ce-2fb7f9f8d120,Del_More_Than_7_Mnt,,Misc,< 7 months,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6ec57247-9b65-41fd-a1fa-8d3978fd15b3,Del_7_8_Mnt,,Misc,7-<8 months,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09e620c1-9dd9-42e3-a94f-5b333ccb8c53,Del_8_9_Mnt,,Misc,8<-9 months,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f655ac92-fcd0-42b1-95f7-be5af122508e,Del_Term,,Misc,Term,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34dddb9b-94d8-4313-aaa9-f5111eabff26,Del_Post_Term,,Misc,Post-term,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f7269906-a23d-40a8-afcc-86695321cbb2,Del_Period_Of_Gestation,,Misc,Period of Gestation,Coded,,,,,,,Del_More_Than_7_Mnt,Del_7_8_Mnt,Del_8_9_Mnt,Del_Term,Del_Post_Term,,,,,,,,,,,,,,,,,,
6a076c85-f5a7-4fab-8ea5-82ebad2c8190,Del_Newborn_Weight,,Misc,Newborn Weight,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1cbe02a-b790-45a4-9d54-983782c8ef70,Del_Newborn_Weight_Abnormal,,Abnormal,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d9a3ce76-413b-4a33-babf-b34b9a7e017d,Del_OD_Live_birth,,Misc,Live Birth,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca1c8dc1-30ab-47cf-bca9-f35e4004a2e9,Del_OD_still birth,,Misc,Still Birth,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668cfd52-fdac-4fe3-bd1b-0f67bd34bcdd,Del_Type_of_Birth,,Misc,Type of birth,Coded,,,,,,,Del_OD_Live_birth,Del_OD_still birth,,,,,,,,,,,,,,,,,,,,,
a97414e3-dac0-4dc2-9ac6-42f2b254bc74,Del_LB_Weight_Prematurity,,Misc,Prematurity,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
