"uuid","name","description","class","shortname","child.1","child.2","child.3","child.4","child.5","child.6","child.7","child.8","child.9","child.10","child.11","child.12","child.13","child.14","child.15","reference-term-source","reference-term-code","reference-term-relationship"
"4e575cd0-2626-4fce-8f8d-6e79b1c9ea1e","TB_Temperature_Data",,"Concept Details","Temperature","TB_Temperature","TB_Temperature Abnormal","","","","","","","","","","","","","",,,
"7b1e76f7-2fa1-4bfb-a4de-d574a1341407","TB_Pulse_Data",,"Concept Details","Pulse rate","TB_FollowUP_Pulse_Rate","TB_Pulse_Abnormal","","","","","","","","","","","","","",,,
"53418bb7-be04-4636-9fe2-e87f2947aa37","TB_RR_Data",,"Concept Details","Respiratory rate","TB_RR","TB_RR_Abnormal","","","","","","","","","","","","","",,,
"d6234e29-c317-47de-8702-4d2b51bd5c3c","TB_SPO2_Data",,"Concept Details","SpO2","TB_FollowUP_SPO2","TB_FollowUP_SPO2_Abnormal","","","","","","","","","","","","","",,,
"f0355e18-4967-4936-8e51-0474c83cbc9e","TB_FollowUP_Vitals",,"ConvSet","Vital Parameters","TB_FollowUP_Weight","TB_FollowUP_Change_In_Weight","TB_Temperature_Data","TB_Pulse_Data","TB_RR_Data","TB_FollowUP_RR_Since_Last_Visit","TB_SPO2_Data","","","","","","","","",,,
"416a0794-3395-4fab-bfda-8c1747ae5873","TB_FollowUP_Compliance",,"ConvSet","Compliance","TB_FollowUP_Treatment_Compliance","TB_FollowUP_Reason_For_Not_Adhering","","","","","","","","","","","","","",,,
"bd96e7b9-402b-4a10-9182-2e5e47e34127","TB_FollowUP_Symptoms_Relief",,"ConvSet","Symptoms Relief","TB_FollowUP_Cough","TB_FollowUP_Breathlessness","TB_FollowUP_Hemoptysis","TB_FollowUP_Loss_Of_Appetite","TB_FollowUP_Fever","TB_FollowUP_Vomiting","TB_FollowUp_Add_More_Symp","TB_FollowUP_Symp_Status","","","","","","","",,,
"226d85b0-a420-4fd0-a7dd-347c1112452a","TB_Hemoglobin_Data",,"Concept Details","Hemoglobin","TB_Hemoglobin","TB_Hemoglobin_Abnormal","","","","","","","","","","","","","",,,
"1c9161fb-092a-46d3-8922-2ea310a36ced","TB_Blood_Sugar_Abnormal",,"Abnormal","Blood Sugar Abnormal","","","","","","","","","","","","","","","",,,
"8679e47b-96bf-4165-9cc4-9165cc2ae17b","TB_Blood_Sugar_Data",,"Concept Details","Blood Sugar","TB_Blood_Sugar","TB_Blood_Sugar_Abnormal","","","","","","","","","","","","","",,,
"b1f0ae31-f0c7-4591-85e2-5c9ad92fec4a","TB_FollowUP_Laboratory_Findings",,"ConvSet","Laboratory Findings","TB_Hemoglobin_Data","TB_Blood_Sugar_Data","TB_SGPT","TB_Sputum_Outcome","TB_2_CBNAAT_Culture_Outcome","TB_LPA_Outcome","","","","","","","","","",,,
"3812c94e-d25e-4621-8f39-92173d7140db","TB_Intake_Consolidation",,"Misc","Consolidation","","","","","","","","","","","","","","","",,,
"a350e089-8ab9-465d-a144-906e5a7480ac","TB_Intake_Cavity",,"Misc","Cavity","","","","","","","","","","","","","","","",,,
"16b8a150-b82f-4355-87d3-f1ee5e4d26f9","TB_Effusion_Right",,"Misc","Effusion","","","","","","","","","","","","","","","",,,
"cfbb9e64-be9e-4ca6-b144-302452b59695","TB_Collapse",,"Misc","Collapse","","","","","","","","","","","","","","","",,,
"78d0669b-6eb9-40f3-aea7-c93965276925","TB_Intake_X_Ray",,"ConvSet","X-Ray Findings","TB_Intake_Consolidation","TB_Intake_Cavity","TB_Effusion_Right","TB_Collapse","TB_Miliary","","","","","","","","","","",,,
"d4d9c66d-ab8d-4d33-aa4f-85875beb4b09","TB_Chest_signs",,"ConvSet","Chest signs","TB_CS_Creps","TB_CS_Wheeze","TB_CS_Bronchial_breathing","TB_CS_Air_entry_decreased","","","","","","","","","","","",,,
"fed1c911-98c8-4479-af91-2612c5b9f355","TB_FollowUP_Current_Status",,"ConvSet","Current Status","TB_FollowUP_Treatment_Status","TB_Intake_Any_Other_Diagnosis","TB_FollowUP_Visit_Impresion","TB_Severe_Illness","TB_Need_for_Referral","GLOBAL_Patient_Referred","GLOBAL_Patient_Admitted","","","","","","","","",,,
"afe2ea21-44ae-4bab-ba01-b5274b75bbea","GLOBAL_Fee_Section",,"ConvSet","Fee Details","Receipt_number","Fees_Amount","","","","","","","","","","","","","",,,
"c9707c21-82c3-42dc-a3a1-e209fdb7d99d","TB_FollowUP_Form",,"ConvSet","TB FollowUP Form","TB_FollowUP_Date","TB_FollowUP_Vitals","TB_FollowUP_Compliance","TB_FollowUP_Symptoms_Relief","TB_FollowUP_Laboratory_Findings","TB_Intake_X_Ray","TB_Chest_signs","TB_FollowUP_Current_Status","TB_Intake_Any_Other_Diagnosis","TB_Linked_To_Other_Services","GLOBAL_Fee_Section","TB_Follow_Up","GLOBAL_Doctors_Name","GLOBAL_Nurse_Name","",,,
